url_length,path_length,query_string_length,payload_length,special_char_count,digit_count,uppercase_count,lowercase_count,dot_count,slash_count,percent_encoding_count,null_byte_count,path_depth,query_param_count,has_ip_in_url,is_https,payload_entropy,special_char_ratio,digit_ratio,sql_keyword_count,sql_comment_sequence_count,sql_boolean_logic_count,nosql_operator_count,command_injection_count,xss_keyword_count,xss_event_handler_count,xss_context_break_count,path_traversal_sequence_count,path_traversal_depth,lfi_wrapper_usage,ssrf_indicator_count,open_redirect_param_count,has_user_agent,user_agent_length,user_agent_known_bot,header_order_anomaly,has_cookie,cookie_count,has_referer,has_origin,has_authorization,has_content_security_policy,has_strict_transport_security,has_x_frame_options,status_code,response_length,response_time,contains_error,is_redirect,response_entropy,secure_cookie_present,httponly_cookie_present,server_header_present,missing_security_headers_count,request_anomaly_score,label,label_name
32,13,0,0,6,0,0,26,1,4,0,0,2,0,0,1,0.0,0.1875,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,1,0,0,1,1,0,200,18768,0.6651864282128175,0,0,4.262797494080299,0,1,1,0,0.0,0,normal
33,14,0,30,9,4,0,50,2,4,0,0,2,0,0,1,4.031401845392172,0.14285714285714285,0.06349206349206349,1,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,1,0,0,1,1,0,0,1,0,201,6693,0.30059140273342966,0,0,2.797090025307911,1,0,0,0,0.0,0,normal
33,14,0,0,6,0,0,27,1,4,0,0,2,0,0,1,0.0,0.18181818181818182,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,0,1,0,0,0,1,0,200,35923,0.4780357292431244,0,0,7.286727899093384,1,0,0,1,0.0,0,normal
36,7,10,8,13,0,0,31,1,3,0,0,1,1,0,0,2.75,0.29545454545454547,0.0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,72,0,1,0,0,0,0,0,0,0,0,403,24021,3.9546370230841235,1,0,5.729741214210893,1,0,1,2,0.0,1,injection
40,7,14,12,15,6,6,21,1,3,0,0,1,1,0,0,2.8553885422075336,0.28846153846153844,0.11538461538461539,1,1,1,0,0,0,0,2,0,0,0,0,0,1,11,1,1,0,0,0,0,0,0,0,0,403,43359,3.967270571638829,1,0,5.791263707716274,0,1,1,3,0.0,1,injection
70,8,39,37,26,12,10,59,2,5,10,0,1,1,0,1,3.926103542511003,0.24299065420560748,0.11214953271028037,0,0,0,0,0,2,0,2,0,0,0,0,0,1,65,0,1,0,0,1,0,0,0,1,0,200,47560,1.2205911484103045,0,0,5.833451547818107,0,0,0,2,0.2,2,xss
31,12,0,0,6,0,0,25,1,4,0,0,2,0,0,1,0.0,0.1935483870967742,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,1,0,0,0,1,0,200,35552,0.6153478227199999,0,0,5.344825545203377,1,1,1,5,0.0,0,normal
31,8,0,72,29,0,0,67,2,3,0,0,1,0,0,1,3.9328751778080844,0.2815533980582524,0.0,1,0,0,0,0,0,0,14,0,0,0,0,0,1,59,0,1,0,0,0,0,0,0,1,0,500,48646,0.12366684429378673,1,0,3.788293624026536,1,1,0,2,0.2,7,api_abuse
73,8,41,34,20,4,0,83,6,7,0,0,1,1,0,1,3.9002708419385668,0.18691588785046728,0.037383177570093455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,0,0,0,0,0,1,1,0,200,34395,4.392744116232549,0,0,2.5956568430487525,1,0,0,4,0.0,3,ssrf
35,16,0,26,17,4,0,37,1,6,0,0,4,0,0,1,3.825251737288651,0.2786885245901639,0.06557377049180328,1,0,0,0,0,0,0,4,0,0,0,0,0,1,35,0,1,0,0,0,0,1,0,1,0,200,13465,0.17001183632514028,0,0,6.660220880140716,0,0,0,5,0.0,0,normal
36,17,0,26,16,3,0,40,1,5,0,0,3,0,0,1,3.825251737288651,0.25806451612903225,0.04838709677419355,1,0,0,0,0,0,0,4,0,0,0,0,0,1,21,0,1,0,0,0,0,1,0,1,1,200,37271,0.14520933888771903,0,0,1.1552646127819206,1,1,0,1,0.0,0,normal
41,15,6,0,9,0,0,32,1,5,0,0,3,1,0,1,0.0,0.21951219512195122,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,1,0,0,0,1,0,200,43953,0.6044772312570716,0,0,0.6880118328536005,0,1,0,4,0.0,0,normal
30,7,0,19,8,0,0,41,1,3,0,0,1,0,0,0,3.576617644908666,0.16326530612244897,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,1,302,46790,1.5890140800351158,0,1,1.3772413786050894,0,0,1,2,0.0,5,auth_attack
32,13,0,0,6,0,0,26,1,4,0,0,2,0,0,1,0.0,0.1875,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,1,0,0,1,1,0,200,14681,0.576504073591187,0,0,6.455684803059792,0,0,0,3,0.0,0,normal
